text,category
"Aus ein paar Dutzend Ermordeten im Jahr werden dann Hunderte von Ermordeten im Jahr werden und eines Tages Tausende – es sei denn, es gelingt uns, den Prozess der Umvolkung aufzuhalten und die... https://t.co/A8cuUlEkqN",1
"""Team Umvolkung?"" Das T-Shirt des Schlepperkapitäns https://t.co/Umxo4Ym12M via @YouTube",1
"Kanzlerin warnt vor Spaltungstendenzen in deutscher Gesellschaft sowie in Europa und vor einer Unterscheidung zwischen Einheimischen und Zugewanderten. ""Lassen Sie uns nicht in Gruppen teilen"".

Ich sage: unser Grundgesetz unterscheidet hier ausdrücklich! Diese Umvolkung spaltet!",1
"""Team Umvolkung?"" Das T-Shirt des Schlepperkapitäns https://t.co/qrDmEJNlzJ via @YouTube",1
"Die lapidare, nichtssagende Floskel, jetzt sind sie halt da, 
ist nur eine lausige Ausrede, für überdimensionierte Massenzuwanderung! Ministerpräsident Rasmussen steht zu seinem Volk! Das kann man v. Merkel nicht behaupten; sonst würde sie die Umvolkung nicht derart vorantreiben! https://t.co/5GS0TnzoBC",1
„Team Umvolkung?“ Das T-Shirt des Schlepperkapitäns https://t.co/3EicLVrkPv via @jouwatch,1
"@mithaldu @ClausReisch @gmeiner_l @SEENOTRETTUNG Ups - Was als Satire gedacht war, stellt sich jetzt - ungewollt - als Wahrheit heraus. Sigmund Freud läßt grüßen. #Seenotrettung = Umvolkung.",0
"Die ""Lifeline"", der ""Schlepperkönig"" und das ""Team Umvolkung"" - Kapitän Reisch sammelt Geld für weitere Reisen https://t.co/Ex4qgSuRMz via @China_Welt_News",1
"""Team Umvolkung?"" Das T-Shirt des Schlepperkapitäns https://t.co/drunKwtDCA via @YouTube",1
"@BesorgterH @samluetolf @operationlibero @SchutzfaktorM @sbinein Der besorgte Historiker möge genauso warten bis der besorgte Wutbürger Lütolf sein Plädoyer gehalten hat. 

Danach müsste der besorgte Historiker beantragen, Verschwörungstheorien wie ""Besiedlungsplanung"" und ""Umvolkung"" in die Beweisaufnahme aufzunehmen.",0
"@Sekina84 @HortusC @stefanolix @behro4 @teite99 @Wirtschaftswurm @SvenBuchholz4 @RobertB91097898 @drbrandner @ecclesiadei1 @pumpenschwengel @LMirako @S_Longus @Luicifer6 weil das,was sie anstreben..eben dieses ist..umvolkung..",1
@faznet drecks #volksverräter von @cducsubt  und @spdde ! und ihr regierungstreuen schmierfinken beklatscht das auch noch! #Umvolkung,1
Könnten wir jetzt mit der Umvolkung beginnen?,0
"@koch_ckoch966 @Alex_Anderson_J @dlfkultur @C_Emcke @janboehm @groenemeyer Wie nennst du es denn, wenn Menschen ins Land geholt (""importiert"") werden, um die Plätze aufzufüllen, die die Sterbefälle hinterlassen?

Die UN nennt das ja ""Replacement Migration"". Andere nennen es ""Umvolkung"".",1
"Wir bräuchten keine Umvolkung um den IQ zu senken.
Wir haben 87 %  Arschlöscher die nichts taten um dieses Land wieder in die Spur zu bringen. https://t.co/NjLHkycUv1",0
"https://t.co/wkE4908Mxx

Niet alleen 'van plan zijn': DOEN! 

Wij, het volk, zijn #KLAAR met de Umvolkung van Europa.",0
Vieleicht kann dir Team Umvolkung ja weiterhelfen...fg https://t.co/REJoEy8xUJ,0
"@DieTagesstimme Aber aber aber aber, das sind doch unsre Worte. Unsre Provokation. Schnappatmung. #Triggered

Am Ende ist das Schleppen von Menschen eben keine Umvolkung sondern Menschenpflicht, Rettung und verhindert tote Menschen. Das möchten Ewiggestrige wie ihr, nur eben nicht wahr haben.",0
"@BesorgterH @samluetolf @operationlibero @SchutzfaktorM @sbinein ""perversen Teilen der UN""?
Von 193 Staaten haben 192 unterzeichnet, nur die Trumpisten nicht.

""Verdrängungsmigration"" und ""Vermehrungsbereitschaft"" sind alles Begriffe in der ""Umvolkung"".

AfD Fan?",0
@DrWaumiau Umvolkung! 😂,0
#FFD365 Deutscher Vorsitz bei der Umvolkung – Das Bundesinnenministerium - https://t.co/LSjTdd1eVq,0
@ClausReisch Super Aktion. Auch wenn die  Hintergedanken wie Schlepper und Umvolkung sehr bedenklich sind. Leben zu retten ist niemals ein Verbrechen.,0
Ich mag das @YouTube-Video: https://t.co/EkNm7Bal01 Der große Bevölkerungsaustausch - MrWissen2go widerlegt eine geplante Umvolkung,1
"@NetwallWaltraud @SteiblBarbara Paranoia?
Die herrscht ja wohl am ehesten auf der nationalistischen Seite.
Z.b. dieser Unsinn von der sogenannten ""Umvolkung"".
Völliger Blödsinn.",0
"#Merkel #AliceWeidel #Bundestag #bundestagsdebatte 
Sie ist sehr sehr müde, aber die Umvolkung ist noch nicht vollbracht. https://t.co/qOS0Bf8QYD",1
#2018 #amsterdam #faz #integration #mauricecrul #multikulti #niederlande #schlagzeile #umvolkung #zuwanderung https://t.co/yTVvi7NmMU,0
"Wir erleben die #Renaissance unserer Gemeinschaft aus ihrem Ursprung im Befreiungskampf gegen verhängnisvolle Globalisierung 
#Umvolkung",1
"Ich mag das @YouTube-Video: https://t.co/Wb9Df2iU0H ""Umvolkung"" - AfD-Stimmen zum UN-Migrationspakt",0
"Das sollten wirklich alle lesen. Ein Meilenstein in der Abschaffung der Demokratie und des verfassten Staates.

#Globalmigration #UN #Umvolkung https://t.co/7ZBkMqZR83",1
"@MichaelaGrasser @Emma13261280 @SEENOTRETTUNG Remember, you can’t decide for the rest of the EU, just because you have to solve your past, Mr. “Umvolkung”. Those is your historical drama, not ours.",0
"@DrDavidBerger Keine Antwort ist auch eine Antwort. Grundsätzlich ist ein Staat/Land zu nichts verpflichtet. Dieses dumme Zeug wird der Bevölkerung von den Linksokkulten gebetsmühlenartig wiederholt, bis der unbedarfte Bürger das glauben soll. EU Brüssel und UN wollen Umvolkung um jeden Preis",1
"https://t.co/0Ga2Q6mURi
Merkel : In Zukunft wird die Migration aus Afrika noch viel stärker eine Rolle spielen als die aus Syrien und dem Irak.  Die Migration aus Afrika soll als Chance verstanden werden und nicht als Problem gesehen  werden. 😠😠👎👎",1
"@Wilsons_dream @DrDavidBerger Die führen die Bevölkerung wie der Ochse an der Nase durch den Bundestag. Das erklärte Ziel scheint die ""#Umvolkung"" zu sein.",1
"@rove_we @kasparkramer @derclowny Es ist bereits jetzt schon zu spät. Der Betrug am deutschen Volk und letztlich an den Europäern, hat eine unglaubliche Dimension. Mit der Unterzeichnung des Migrationspaktes im Dezember wird der Prozeß der Umvolkung beschleunigt und besiegelt. Die weiße Rasse soll weg!",1
@CasariniJosef @Kawajoerg @focusonline Das ist so politisch gewollt. Die neuen Herren werden hofiert. Ganz normale alltägliche Umvolkung.,1
Es fand also eine Umvolkung von Volkdeutschen nach #Bayern statt #Stoiber #CSU,0
"@AfDimBundestag @GottfriedCurio @katarinabarley Gesellschaftsexperiment ""Umvolkung"" oder wie man aus einer Demokratie ein multi-ethnisches Bürgerkriegsland macht https://t.co/pEmJQGxLW4",1
"@Kritiker0815 @Martin_Sellner In diesem Fall also Wahrheit auf der Vorderseite (""gerichtlich bestätigter Schlepper"") und Rückseite (""Umvolkung"") Satire?? Wohl kaum.
P.S. Freue mich auf die unterstützenden Promis (Berben, Mälzer, Pastewka etc.) in diesem schicken T-Shirt. https://t.co/iXIApfFJPz",1
"Wagenknecht betreibt auch den Völkermord durch Umvolkung. Sie will nur echte Linke daran hindern, eine neue Partei zu gründen, die für die kleinen Leute arbeitet https://t.co/378nizqUkU",1
"""Team Umvolkung?"" Das T-Shirt des Schlepperkapitäns https://t.co/mXqv15rHae via @YouTube",1
"geht arbeiten für eure Umvolkung 

https://t.co/1l8l5cqpEg",0
#FFD365 Deutscher Vorsitz bei der Umvolkung – Das Bundesinnenministerium - https://t.co/LSjTddiQk0,1
"@littlewisehen @FridolinPSP Ihr seid doch mit dem Klammerbeutel gepudert, Blockwärtchen. Anstatt die Leute im Glauben zu lassen, ihr seiet Linke, verleitet ihr sie dazu, sich darüber Gedanken zu machen, wer ihr wirklich seid. Es heißt ja immer, ihr seid so intelligent. Manchmal bezweifle ich das! #Umvolkung https://t.co/dyFGv8GTb9",0
"@BlondJedi ja,..und die hätte es eine IB gegeben hätten sie gegen die umvolkung durch den homo sapiens demonstriert xD",0
"@IB_Schweiz @YouTube Erst erfindet Ihr kleinen Neonazistümper die ""Umvolkung"" und jetzt seid ihr angepisst, weil man Euch mit dem Begriff verarscht? 😂#TeamUmvolkung",0
"Die ""Lifeline"", der ""Schlepperkönig"" und das ""Team Umvolkung"" - Kapitän Reisch sammelt Geld für weitere Reisen https://t.co/Oks6FaOcD9 via @China_Welt_News",0
"Halle Neustadt: Der Muezzin ruft zur Morgenandacht..
""Niemand hat die Absicht eine Islamisierung durchzuführen!""
🛑 #Islamisierung und #Umvolkung! 
Der #Widerstand sammelt sich in und um unsere Verfassunggebende Versammlung! 
▶️▶️🇩🇪 #VV 🇩🇪◀️◀️ https://t.co/9MRcP6Cfz2",1
"Die Umvolkung in Deutschland ist kein „Kindergeburtstag“ – zumindest nicht für die schon länger hier Lebenden und ihre Familien.
 Läuft – für „Mama Merkel“ (kinderlos)! https://t.co/W0pLUdSkGL",1
"🆘‼😎👍 #Italy: #MatteoSalvini speaks plaintext on Italian television at prime time: ""They Are Fake Refugees, Send Them Back Where They Came From."" (with engl. subs) Italians first! https://t.co/U8715AW12O",1
"German #NGO #Lifeline uses distinct NAZI JARGON on t-shirts paid with donors' money! #Migrantcrisis #SAR #TogetherForRescue #Europol #Humansmuggling #SOSMEDITERRANE #Refugees #Seenotrettung #msf #refugiados #seawatch #flüchtlinge #EKD ""Umvolkung"" meaning ➡️https://t.co/gFQYRy5F5s https://t.co/Q0dKePHcfg",0
"@KNA_Redaktion @SEENOTRETTUNG @ebmuc Der Kapitän von ""Mission #lifeline"" Trägt ein T-Shirt mit der Aufschrift ""TEAM #UMVOLKUNG"". Das ist der Mann der vom gesamten Mainstream gehyped und unterstützt wurde.
https://t.co/A1UjJ98wK8",1
"Da muss der Horst sich aber anstrengen,  wenn er die Obergrenze erreichen will. Und die Blaubraunen faseln immer noch von unkontrollierter Zuwanderung und Umvolkung. https://t.co/i4W64d5dWO",0
@1schlobohm @RottenmeierFrl @drumheadberlin @BILD_Politik Es sind 10.000.,0
"@ClausReisch @DeEikeBoom Sehr geehrter Herr Reisch, 
Still speaking about 'Umvolkung'?  You Germans, you're locked in your Nazi past and can't get over it. Let me add, if you GERMANS had a NAZI past and are still dealing&amp;struggling with it... well it's not the other Europeans' FAULT",0
"Und dafür spendet @ebmuc 50.000 €
Für das Team Umvolkung. https://t.co/ybzpBwwKmV",1
"50.000 Euro für ""Schlepperkönig"" und sein ""Team Umvolkung"" aus Kirchensteuermitteln https://t.co/VOsZg6CI8b #Lifeline #Marx #Kirchensteuer #katholisch",1
"#heutejournal @heutejournal weiter mit Unfug über Schulen.

#Regierungspropaganda

Milliarden für rassistisch anti-deutsche Umvolkung. Aber über ein paar Computer an Schulen diskutieren und knausern.

⚡ 

Wie lange wollt ihr diesen ÖRR noch zwangsbezahlt dulden?",1
"@Eddie_1412 ""....aber die KZ's sind ja leider außer Betrieb."" (aus ""Umvolkung"" von Akif Piricci, 2016)",0
"Warum sagt er nicht gleich ""Umvolkung""? Um noch irgendwie als AfD-Vermeidungs-Interviewpartner zur Repräsentanz des rechten Rands dienen zu können? https://t.co/sWYNt3IBoM",0
"Das hat natürlich alles nix um der Umvolkung zu tun ... 

Wenn die #CSU 500.000 zusätzliche Kurgäste aufnehmen würden, kämen sie bei den #Ltwby auf 125% 
🤣🤣🤣 https://t.co/DkBApIjOwu",1
"Das mit #Afrika kommt ja nicht zum ersten Mal. Es ist zu befürchten, daß #Merkel das nicht nur bei entsprechenden Gelegenheiten als Floskel sagt sondern ernst meint und wirklich eine #Umvolkung mindestens in Kauf nimmt

#UN #Migrationspakt https://t.co/CsMEeHPuIM",1
"@Heinrich_Krug @SilviaHerrmann_ sehr blaß = hellhäutig
nur Umvolkung kann Schäubles Furcht vor Degenerierung senken",0
@ischias4 Überall wird uns das schmackhaft gemacht...egal ob wir wollen oder nicht! Aber es  keine Sorge es gibt ja keine Umvolkung oder?,1
"Derartiges wird dann überall in D so kommen! Da ja nun dem deutschen der schon länger hier lebt kein Vorrecht eingeräumt wird auf dem Arbeitsmarkt u alle #Migranten die Arbeit haben, bleiben dürfen, werden sie die in jede Amtsstube setzen. 😖😡😩 #umvolkung #AfDwirkt #LtwBayern https://t.co/dmgiUi5Egu",1
"""Team Umvolkung?"" Das T-Shirt des Schlepperkapitäns #Umvolkung  https://t.co/yx2Kc0P8ix   https://t.co/SYl1d0MBC1",1
"Viele meiner Follower halten große Stücke auf unseren Kanzler @SebastianKurz.
Ich halte ihn (nach wie vor) für einen Merkel-Vasall.
Verfolgt es selbst: S. Kurz wird den #Migrationspakt treudoof unterschreiben.
Fragt ihn selbst, falls er euch antwortet.
https://t.co/bxPzAwLsn9",1
@paris_fiennes @Alice_Weidel Umvolkung! 😂😂😂😆😆😆🤣🤣🤣🤣👍😊😊😊😂😂😂😂😂☝️Moment...😄😄😄😄😂😂😂😂🤣🤣🤣🤣🤣😆😆😆,0
"@che_notte Galileo Mystery heute mit dem Thema ""Umvolkung. Gibt es sie und wenn ja wer steckt dahinter?""",0
"Kardinal ""Team Umvolkung"" #Marx 🤢 https://t.co/zcnBYT3uNP",1
Schlepperkönig Team Umvolkung https://t.co/wndqfa2KTm,1
"Die ""Lifeline"", der ""Schlepperkönig"" und das ""Team Umvolkung"" - Kapitän Reisch sammelt Geld für weitere Reisen https://t.co/RuS4JrnKyU via @China_Welt_News",1
"@CSU 😂😂😂 Kein Mensch, der halbwegs klar denken kann wird Ihnen auch nur ein Wort glauben. Selbst, wenn Sie aus dem Telefonbuch vorlesen. Wer hat denn den Globalen Pakt für Migration unterschrieben und beschert uns weitere X-Millionen Zuwanderer in unser Sozialsystem? Die CSU!!!",1
"@FremderR @samluetolf @operationlibero @SchutzfaktorM @sbinein Steht in meinem tweet etwas von ""Umvolkung""? Die UN-Verdrängungsmigration ist eine Empfehlung von den perversen Teilen der UN, Teile europäischer und asiatischer Völker durch Afrikaner (wegen deren größerer Vermehrungsbereitschaft, also wohl Höckefans) zu ersetzen.",0
„Team Umvolkung”: Deutsche NGO sorgt mit Hemddesign für Aufregung https://t.co/9kw7jGD8KG,0
